"","Stage","Date","Distance_km","Type","Winner","Type_general"
"1667","4a",1938-07-08,62,"Plain stage","Éloi Meulenberg","flat"
"1668","4b",1938-07-08,83,"Plain stage","Éloi Meulenberg","flat"
"1669","4c",1938-07-08,83,"Plain stage","Félicien Vervaecke","flat"
"1670","5",1938-07-10,198,"Plain stage","Éloi Meulenberg","flat"
"1671","6a",1938-07-11,53,"Plain stage","Jules Rossi","flat"
"1672","6b",1938-07-11,171,"Plain stage","Glauco Servadei","flat"
"1673","7",1938-07-12,115,"Plain stage","Theo Middelkamp","flat"
"1674","8",1938-07-14,193,"Stage with mountain(s)","Félicien Vervaecke","mountain"
"1675","9",1938-07-16,260,"Stage with mountain(s)","Jean Fréchaut","mountain"
"1676","10a",1938-07-17,63,"Plain stage","Antoon van Schendel","flat"
"1677","10b",1938-07-17,27,"Individual time trial","Félicien Vervaecke","time trial"
"1678","10c",1938-07-17,73,"Plain stage","Antonin Magne","flat"
"1679","11",1938-07-18,223,"Plain stage","Gino Bartali","flat"
"1680","12",1938-07-19,199,"Plain stage","Jean Fréchaut","flat"
"1681","13",1938-07-21,284,"Stage with mountain(s)","Dante Gianello","mountain"
"1682","14",1938-07-22,219,"Stage with mountain(s)","Gino Bartali","mountain"
"1683","15",1938-07-23,311,"Stage with mountain(s)","Marcel Kint","mountain"
"1684","16",1938-07-25,284,"Stage with mountain(s)","Marcel Kint","mountain"
"1685","17a",1938-07-26,89,"Plain stage","Émile Masson Jr.","flat"
"1686","17b",1938-07-26,143,"Plain stage","Jean Fréchaut","flat"
"1687","18",1938-07-27,186,"Plain stage","Marcel Kint","flat"
"1688","19",1938-07-28,196,"Plain stage","Fabien Galateau","flat"
"1689","20a",1938-07-30,48,"Plain stage","Glauco Servadei","flat"
"1690","20b",1938-07-30,42,"Individual time trial","Félicien Vervaecke","time trial"
"1691","20c",1938-07-30,107,"Plain stage","François Neuville","flat"
"1692","21",1938-07-31,279,"Plain stage","Antonin Magne André Leducq","flat"
"1693","1",1937-06-30,263,"Plain stage","Jean Majerus","flat"
"1694","2",1937-07-01,192,"Plain stage","Maurice Archambaud","flat"
"1695","3",1937-07-02,161,"Plain stage","Walter Generati","flat"
"1696","4",1937-07-03,220,"Stage with mountain(s)","Erich Bautz","mountain"
"1697","5a",1937-07-04,175,"Plain stage","Henri Puppo","flat"
"1698","5b",1937-07-04,34,"Team time trial","Sylvère Maes","time trial"
"1699","5c",1937-07-04,93,"Plain stage","Leo Amberg","flat"
"1700","6",1937-07-06,180,"Stage with mountain(s)","Gustaaf Deloor","mountain"
"1701","7",1937-07-07,228,"Stage with mountain(s)","Gino Bartali","mountain"
"1702","8",1937-07-08,194,"Stage with mountain(s)","Otto Weckerling","mountain"
"1703","9",1937-07-09,220,"Stage with mountain(s)","Roger Lapébie","mountain"
"1704","10",1937-07-11,251,"Stage with mountain(s)","Félicien Vervaecke","mountain"
"1705","11a",1937-07-13,169,"Plain stage","Eloi Meulenberg","flat"
"1706","11b",1937-07-13,65,"Team time trial","Gustaaf Danneels","time trial"
"1707","12a",1937-07-14,112,"Plain stage","Alphonse Antoine","flat"
"1708","12b",1937-07-14,51,"Plain stage","René Pedroli","flat"
"1709","13a",1937-07-15,103,"Plain stage","Francesco Camusso","flat"
"1710","13b",1937-07-15,63,"Plain stage","Eloi Meulenberg","flat"
"1711","14a",1937-07-17,99,"Plain stage","Eloi Meulenberg","flat"
"1712","14b",1937-07-17,59,"Stage with mountain(s)","Mariano Canardo","mountain"
"1713","14c",1937-07-17,167,"Stage with mountain(s)","Eloi Meulenberg","mountain"
"1714","15",1937-07-19,194,"Stage with mountain(s)","Julian Berrendero","mountain"
"1715","16",1937-07-21,235,"Plain stage","Paul Chocque","flat"
"1716","17a",1937-07-22,123,"Plain stage","Erich Bautz","flat"
"1717","17b",1937-07-22,37,"Plain stage","Adolph Braeckeveldt Heinz Wengler","flat"
"1718","17c",1937-07-22,67,"Plain stage","Roger Lapébie","flat"
"1719","18a",1937-07-23,82,"Team time trial","Roger Lapébie","time trial"
"1720","18b",1937-07-23,172,"Plain stage","Paul Chocque","flat"
"1721","19a",1937-07-24,114,"Plain stage","Raymond Passat","flat"
"1722","19b",1937-07-24,59,"Individual time trial","Leo Amberg","time trial"
"1723","20",1937-07-25,234,"Plain stage","Edward Vissers","flat"
"1724","1",1936-07-07,258,"Plain stage","Paul Egli","flat"
"1725","2",1936-07-08,192,"Plain stage","Robert Wierinckx","flat"
"1726","3",1936-07-09,161,"Plain stage","Mathias Clemens","flat"
"1727","4",1936-07-10,220,"Stage with mountain(s)","Maurice Archambaud","mountain"
"1728","5",1936-07-11,298,"Plain stage","René Le Grèves","flat"
"1729","6",1936-07-13,212,"Stage with mountain(s)","Éloi Meulenberg","mountain"
"1730","7",1936-07-14,230,"Stage with mountain(s)","Theo Middelkamp","mountain"
"1731","8",1936-07-15,194,"Stage with mountain(s)","Jean-Marie Goasmat","mountain"
"1732","9",1936-07-16,220,"Stage with mountain(s)","Léon Level","mountain"
"1733","10",1936-07-18,156,"Plain stage","Paul Maye","flat"
"1734","11",1936-07-19,126,"Stage with mountain(s)","Federico Ezquerra","mountain"
"1735","12",1936-07-21,195,"Plain stage","René Le Grevès","flat"
"1736","13a",1936-07-22,112,"Plain stage","René Le Grevès","flat"
"1737","13b",1936-07-22,52,"Individual time trial","Sylvère Maes","time trial"
"1738","14a",1936-07-23,103,"Plain stage","René Le Grevès","flat"
"1739","14b",1936-07-23,63,"Individual time trial","Sylvère Maes","time trial"
"1740","15",1936-07-25,325,"Stage with mountain(s)","Sauveur Ducazeaux","mountain"
"1741","16",1936-07-27,194,"Stage with mountain(s)","Sylvère Maes","mountain"
"1742","17",1936-07-29,229,"Plain stage","René Le Grevès","flat"
"1743","18a",1936-07-30,117,"Plain stage","Éloi Meulenberg","flat"
"1744","18b",1936-07-30,75,"Individual time trial","Sylvère Maes","time trial"
"1745","19a",1936-07-31,81,"Plain stage","Marcel Kint","flat"
"1746","19b",1936-07-31,65,"Individual time trial","Félicien Vervaecke","time trial"
"1747","19c",1936-07-31,67,"Plain stage","Paul Maye","flat"
"1748","20a",1936-08-01,204,"Plain stage","René Le Grevès","flat"
"1749","20b",1936-08-01,55,"Individual time trial","Antonin Magne","time trial"
"1750","21",1936-08-02,234,"Plain stage","Arsène Mersch","flat"
"1751","1",1935-07-04,262,"Plain stage","Romain Maes","flat"
"1752","2",1935-07-05,192,"Plain stage","Charles Pélissier","flat"
"1753","3",1935-07-06,161,"Plain stage","Rafaele di Paco","flat"
"1754","4",1935-07-07,220,"Stage with mountain(s)","Jean Aerts","mountain"
"1755","5a",1935-07-08,262,"Plain stage","Maurice Archambaud","flat"
"1756","5b",1935-07-08,58,"Individual time trial","Rafaele di Paco","time trial"
"1757","6",1935-07-10,207,"Stage with mountain(s)","René Vietto","mountain"
"1758","7",1935-07-11,229,"Stage with mountain(s)","Francesco Camusso","mountain"
"1759","8",1935-07-12,102,"Stage with mountain(s)","Jean Aerts","mountain"
"1760","9",1935-07-13,227,"Stage with mountain(s)","René Vietto","mountain"
"1761","10",1935-07-14,156,"Plain stage","Jean Aerts","flat"
"1762","11",1935-07-16,126,"Stage with mountain(s)","Romain Maes","mountain"
"1763","12",1935-07-17,195,"Plain stage","Charles Pélissier","flat"
"1764","13a",1935-07-18,112,"Plain stage","Vasco Bergamaschi","flat"
"1765","13b",1935-07-18,56,"Individual time trial","Georges Speicher","time trial"
"1766","14a",1935-07-19,103,"Plain stage","René Le Grevès","flat"
"1767","14b",1935-07-19,63,"Individual time trial","Maurice Archambaud","time trial"
"1768","15",1935-07-20,325,"Stage with mountain(s)","Sylvère Maes","mountain"
"1769","16",1935-07-22,194,"Stage with mountain(s)","Ambrogio Morelli","mountain"
"1770","17",1935-07-24,224,"Plain stage","Julien Moineau","flat"
"1771","18a",1935-07-25,158,"Plain stage","René Le Grevès","flat"
"1772","18b",1935-07-25,33,"Individual time trial","André Leducq","time trial"
"1773","19a",1935-07-26,81,"Plain stage","René Le Grevès","flat"
"1774","19b",1935-07-26,95,"Individual time trial","Jean Aerts","time trial"
"1775","20a",1935-07-27,220,"Plain stage","René Le Grevès","flat"
"1776","20b",1935-07-27,55,"Individual time trial","Ambrogio Morelli","time trial"
"1777","21",1935-07-28,221,"Plain stage","Romain Maes","flat"
"1778","1",1934-07-03,262,"Plain stage","Georges Speicher","flat"
"1779","2",1934-07-04,192,"Plain stage","René Le Grevès","flat"
"1780","3",1934-07-05,161,"Plain stage","Roger Lapébie","flat"
"1781","4",1934-07-06,220,"Stage with mountain(s)","Roger Lapébie","mountain"
"1782","5",1934-07-07,293,"Plain stage","René Le Grevès  Georges Speicher","flat"
"1783","6",1934-07-09,207,"Stage with mountain(s)","Georges Speicher","mountain"
"1784","7",1934-07-10,229,"Stage with mountain(s)","René Vietto","mountain"
"1785","8",1934-07-11,102,"Stage with mountain(s)","Giuseppe Martano","mountain"
"1786","9",1934-07-12,227,"Stage with mountain(s)","René Vietto","mountain"
"1787","10",1934-07-13,156,"Plain stage","René Le Grevès","flat"
"1788","11",1934-07-15,126,"Stage with mountain(s)","René Vietto","mountain"
"1789","12",1934-07-16,195,"Plain stage","Roger Lapébie","flat"
"1790","13",1934-07-17,172,"Plain stage","Georges Speicher","flat"
"1791","14",1934-07-18,177,"Plain stage","Roger Lapébie","flat"
"1792","15",1934-07-20,158,"Plain stage","Roger Lapébie","flat"
"1793","16",1934-07-21,165,"Stage with mountain(s)","Adriano Vignoli","mountain"
"1794","17",1934-07-22,91,"Stage with mountain(s)","Antonin Magne","mountain"
"1795","18",1934-07-23,172,"Stage with mountain(s)","René Vietto","mountain"
"1796","19",1934-07-25,215,"Plain stage","Ettore Meini","flat"
"1797","20",1934-07-26,183,"Plain stage","Georges Speicher","flat"
"1798","21a",1934-07-27,81,"Plain stage","René Le Grevès","flat"
"1799","21b",1934-07-27,90,"Individual time trial","Antonin Magne","time trial"
"1800","22",1934-07-28,275,"Plain stage","Raymond Louviot","flat"
"1801","23",1934-07-29,221,"Plain stage","Sylvère Maes","flat"
"1802","1",1933-06-27,262,"Plain stage","Maurice Archambaud","flat"
"1803","2",1933-06-28,192,"Plain stage","Learco Guerra","flat"
"1804","3",1933-06-29,166,"Plain stage","Alfons Schepers","flat"
"1805","4",1933-06-30,220,"Stage with mountain(s)","Jean Aerts","mountain"
"1806","5",1933-07-01,293,"Stage with mountain(s)","Léon Louyet","mountain"
"1807","6",1933-07-03,207,"Stage with mountain(s)","Learco Guerra","mountain"
"1808","7",1933-07-04,229,"Stage with mountain(s)","Learco Guerra","mountain"
"1809","8",1933-07-05,102,"Stage with mountain(s)","Georges Speicher","mountain"
"1810","9",1933-07-06,227,"Stage with mountain(s)","Georges Speicher","mountain"
"1811","10",1933-07-07,156,"Plain stage","Fernand Cornez","flat"
"1812","11",1933-07-09,128,"Stage with mountain(s)","Maurice Archambaud","mountain"
"1813","12",1933-07-10,208,"Plain stage","Georges Speicher","flat"
"1814","13",1933-07-11,168,"Plain stage","André Leducq","flat"
"1815","14",1933-07-12,166,"Plain stage","André Leducq","flat"
"1816","15",1933-07-14,158,"Stage with mountain(s)","Jean Aerts","mountain"
"1817","16",1933-07-15,165,"Stage with mountain(s)","Léon Louyet","mountain"
"1818","17",1933-07-16,91,"Stage with mountain(s)","Jean Aerts","mountain"
"1819","18",1933-07-17,185,"Stage with mountain(s)","Learco Guerra","mountain"
"1820","19",1933-07-19,233,"Plain stage","Jean Aerts","flat"
"1821","20",1933-07-20,183,"Plain stage","Jean Aerts","flat"
"1822","21",1933-07-21,266,"Plain stage","Jean Aerts","flat"
"1823","22",1933-07-22,169,"Plain stage","René Le Grevès","flat"
"1824","23",1933-07-23,222,"Plain stage","Learco Guerra","flat"
"1825","1",1932-07-06,208,"Plain stage","Jean Aerts","flat"
"1826","2",1932-07-07,300,"Plain stage","Kurt Stöpel","flat"
"1827","3",1932-07-09,387,"Plain stage","André Leducq","flat"
"1828","4",1932-07-11,206,"Plain stage","Georges Ronsse","flat"
"1829","5",1932-07-12,229,"Stage with mountain(s)","Antonio Pesenti","mountain"
"1830","6",1932-07-14,322,"Stage with mountain(s)","Frans Bonduel","mountain"
"1831","7",1932-07-16,168,"Plain stage","Frans Bonduel","flat"
"1832","8",1932-07-17,206,"Plain stage","Michele Orecchia","flat"
"1833","9",1932-07-18,191,"Plain stage","Rafaele di Paco","flat"
"1834","10",1932-07-19,132,"Stage with mountain(s)","Francesco Camusso","mountain"
"1835","11",1932-07-21,233,"Stage with mountain(s)","André Leducq","mountain"
"1836","12",1932-07-22,102,"Stage with mountain(s)","Roger Lapébie","mountain"
"1837","13",1932-07-23,230,"Stage with mountain(s)","André Leducq","mountain"
"1838","14",1932-07-24,204,"Stage with mountain(s)","Rafaele di Paco","mountain"
"1839","15",1932-07-25,291,"Stage with mountain(s)","André Leducq","mountain"
"1840","16",1932-07-26,145,"Plain stage","Gérard Loncke","flat"
"1841","17",1932-07-27,165,"Plain stage","Rafaele di Paco","flat"
"1842","18",1932-07-28,159,"Plain stage","Rafaele di Paco","flat"
"1843","19",1932-07-29,271,"Plain stage","Gaston Rebry","flat"
"1844","20",1932-07-30,212,"Plain stage","André Leducq","flat"
"1845","21",1932-07-31,159,"Plain stage","André Leducq","flat"
"1846","1",1931-06-30,208,"Plain stage","Alfred Haemerlinck","flat"
"1847","2",1931-07-01,212,"Plain stage","Max Bulla","flat"
"1848","3",1931-07-02,206,"Plain stage","Fabio Battesini","flat"
"1849","4",1931-07-03,211,"Plain stage","André Godinat","flat"
"1850","5",1931-07-04,202,"Plain stage","Charles Pélissier","flat"
"1851","6",1931-07-05,338,"Plain stage","Alfred Haemerlinck","flat"
"1852","7",1931-07-06,180,"Plain stage","Gérard Loncke","flat"
"1853","8",1931-07-07,106,"Plain stage","Charles Pélissier","flat"
"1854","9",1931-07-08,231,"Stage with mountain(s)","Antonin Magne","mountain"
"1855","10",1931-07-10,322,"Stage with mountain(s)","Rafaele di Paco","mountain"
"1856","11",1931-07-12,164,"Plain stage","Rafaele di Paco","flat"
"1857","12",1931-07-13,207,"Plain stage","Max Bulla","flat"
"1858","13",1931-07-14,181,"Plain stage","Charles Pélissier","flat"
"1859","14",1931-07-15,132,"Stage with mountain(s)","Eugenio Gestri","mountain"
"1860","15",1931-07-17,233,"Stage with mountain(s)","Jef Demuysere","mountain"
"1861","16",1931-07-18,102,"Stage with mountain(s)","Charles Pélissier","mountain"
"1862","17",1931-07-19,230,"Stage with mountain(s)","Max Bulla","mountain"
"1863","18",1931-07-20,204,"Stage with mountain(s)","Jef Demuysere","mountain"
"1864","19",1931-07-21,282,"Stage with mountain(s)","Rafaele di Paco","mountain"
"1865","20",1931-07-22,209,"Stage with mountain(s)","André Leducq","mountain"
"1866","21",1931-07-23,192,"Plain stage","Rafaele di Paco","flat"
"1867","22",1931-07-24,159,"Plain stage","Raffaele di Paco","flat"
"1868","23",1931-07-25,271,"Plain stage","Gaston Rebry","flat"
"1869","24",1931-07-26,313,"Plain stage","Charles Pélissier","flat"
"1870","1",1930-07-02,206,"Plain stage","Charles Pélissier","flat"
"1871","2",1930-07-03,203,"Plain stage","Learco Guerra","flat"
"1872","3",1930-07-04,206,"Plain stage","Charles Pélissier","flat"
"1873","4",1930-07-05,210,"Plain stage","Omer Taverne","flat"
"1874","5",1930-07-06,202,"Plain stage","André Leducq","flat"
"1875","6",1930-07-07,285,"Plain stage","Jean Aerts","flat"
"1876","7",1930-07-08,222,"Plain stage","Jules Merviel","flat"
"1877","8",1930-07-09,146,"Plain stage","Alfredo Binda","flat"
"1878","9",1930-07-10,231,"Stage with mountain(s)","Alfredo Binda","mountain"
"1879","10",1930-07-12,322,"Stage with mountain(s)","Charles Pélissier","mountain"
"1880","11",1930-07-14,164,"Plain stage","Charles Pélissier","flat"
"1881","12",1930-07-15,209,"Plain stage","Antonin Magne","flat"
"1882","13",1930-07-16,181,"Plain stage","Learco Guerra","flat"
"1883","14",1930-07-17,132,"Stage with mountain(s)","Louis Peglion","mountain"
"1884","15",1930-07-19,333,"Stage with mountain(s)","Learco Guerra","mountain"
"1885","16",1930-07-21,331,"Stage with mountain(s)","André Leducq","mountain"
"1886","17",1930-07-23,282,"Stage with mountain(s)","Frans Bonduel","mountain"
"1887","18",1930-07-24,223,"Plain stage","Charles Pélissier","flat"
"1888","19",1930-07-25,159,"Plain stage","Charles Pélissier","flat"
"1889","20",1930-07-26,271,"Plain stage","Charles Pélissier","flat"
"1890","21",1930-07-27,300,"Plain stage","Charles Pélissier","flat"
"1891","1",1929-06-30,206,"Plain stage","Aimé Dossche","flat"
"1892","2",1929-07-01,140,"Plain stage","André Leducq","flat"
"1893","3",1929-07-02,199,"Plain stage","Omer Taverne","flat"
"1894","4",1929-07-03,206,"Plain stage","Louis Delannoy","flat"
"1895","5",1929-07-04,208,"Plain stage","Gustaaf van Slembrouck","flat"
"1896","6",1929-07-05,206,"Plain stage","Paul Le Drogo","flat"
"1897","7",1929-07-06,285,"Plain stage","Nicolas Frantz","flat"
"1898","8",1929-07-07,182,"Plain stage","Julien Moineau","flat"
"1899","9",1929-07-09,363,"Stage with mountain(s)","Salvador Cardona","mountain"
"1900","10",1929-07-11,323,"Stage with mountain(s)","Jef Demuysere","mountain"
"1901","11",1929-07-13,366,"Plain stage","André Leducq","flat"
"1902","12",1929-07-15,191,"Team time trial","Marcel Bidot","time trial"
"1903","13",1929-07-16,133,"Stage with mountain(s)","Benoît Fauré","mountain"
"1904","14",1929-07-18,333,"Stage with mountain(s)","Gaston Rebry","mountain"
"1905","15",1929-07-20,329,"Stage with mountain(s)","Julien Vervaecke","mountain"
"1906","16",1929-07-22,283,"Stage with mountain(s)","Charles Pélissier","mountain"
"1907","17",1929-07-23,145,"Plain stage","André Leducq","flat"
"1908","18",1929-07-24,165,"Plain stage","André Leducq","flat"
"1909","19",1929-07-25,159,"Team time trial","Bernard van Rysselberghe","time trial"
"1910","20",1929-07-26,270,"Team time trial","Maurice Dewaele","time trial"
"1911","21",1929-07-27,234,"Plain stage","André Leducq","flat"
"1912","22",1929-07-28,332,"Plain stage","Nicolas Frantz","flat"
"1913","1",1928-06-17,207,"Team time trial","Nicolas Frantz","time trial"
"1914","2",1928-06-18,140,"Team time trial","André Leducq","time trial"
"1915","3",1928-06-19,199,"Team time trial","Gaston Rebry","time trial"
"1916","4",1928-06-20,206,"Team time trial","Pé Verhaegen","time trial"
"1917","5",1928-06-21,208,"Team time trial","Marcel Bidot","time trial"
"1918","6",1928-06-22,204,"Team time trial","Nicolas Frantz","time trial"
"1919","7",1928-06-23,285,"Team time trial","Victor Fontan","time trial"
"1920","8",1928-06-24,225,"Team time trial","Maurice Dewaele","time trial"
"1921","9",1928-06-26,387,"Stage with mountain(s)","Victor Fontan","mountain"
"1922","10",1928-06-28,323,"Stage with mountain(s)","André Leducq","mountain"
"1923","11",1928-06-30,363,"Plain stage","André Leducq","flat"
"1924","12",1928-07-02,330,"Stage with mountain(s)","Nicolas Frantz","mountain"
"1925","13",1928-07-04,333,"Stage with mountain(s)","Antonin Magne","mountain"
"1926","14",1928-07-06,329,"Stage with mountain(s)","Julien Moineau","mountain"
"1927","15",1928-07-08,213,"Team time trial","Pierre Magne","time trial"
"1928","16",1928-07-09,119,"Team time trial","André Leducq","time trial"
"1929","17",1928-07-10,145,"Team time trial","Joseph Mauclair","time trial"
"1930","18",1928-07-11,165,"Team time trial","Nicolas Frantz","time trial"
"1931","19",1928-07-12,159,"Team time trial","Marcel Huot","time trial"
"1932","20",1928-07-13,271,"Team time trial","Maurice Dewaele","time trial"
"1933","21",1928-07-14,234,"Team time trial","Antonin Magne","time trial"
"1934","22",1928-07-15,331,"Plain stage","Nicolas Frantz","flat"
"1935","1",1927-06-19,180,"Team time trial","Francis Pélissier","time trial"
"1936","2",1927-06-20,103,"Team time trial","Maurice Dewaele","time trial"
"1937","3",1927-06-21,225,"Team time trial","Hector Martin","time trial"
"1938","4",1927-06-22,140,"Team time trial","Camille van de Casteele","time trial"
"1939","5",1927-06-23,199,"Team time trial","Ferdinand Le Drogo","time trial"
"1940","6",1927-06-24,206,"Team time trial","André Leducq","time trial"
"1941","7",1927-06-25,207,"Team time trial","Gustaaf van Slembrouck","time trial"
"1942","8",1927-06-26,204,"Team time trial","Raymond Decorte","time trial"
"1943","9",1927-06-27,285,"Team time trial","Adelin Benoit","time trial"
"1944","10",1927-06-28,189,"Plain stage","Pé Verhaegen","flat"
"1945","11",1927-06-30,326,"Stage with mountain(s)","Nicolas Frantz","mountain"
"1946","12",1927-07-02,323,"Stage with mountain(s)","Gustaaf van Slembrouck","mountain"
"1947","13",1927-07-04,360,"Plain stage","Maurice Dewaele","flat"
"1948","14",1927-07-05,120,"Team time trial","Antonin Magne","time trial"
"1949","15",1927-07-06,220,"Stage with mountain(s)","Nicolas Frantz","mountain"
"1950","16",1927-07-08,275,"Stage with mountain(s)","Julien Vervaecke","mountain"
"1951","17",1927-07-09,283,"Stage with mountain(s)","Pé Verhaegen","mountain"
"1952","18",1927-07-11,213,"Team time trial","Adelin Benoit","time trial"
"1953","19",1927-07-12,119,"Team time trial","Maurice Geldhof","time trial"
"1954","20",1927-07-13,145,"Team time trial","Raymond Decorte","time trial"
"1955","21",1927-07-14,165,"Team time trial","Nicolas Frantz","time trial"
"1956","22",1927-07-15,159,"Team time trial","Hector Martin","time trial"
"1957","23",1927-07-16,270,"Team time trial","André Leducq","time trial"
"1958","24",1927-07-17,344,"Plain stage","André Leducq","flat"
"1959","1",1926-06-20,373,"Plain stage","Jules Buysse","flat"
"1960","2",1926-06-22,334,"Plain stage","Aimé Dossche","flat"
"1961","3",1926-06-24,433,"Plain stage","Gustaaf van Slembrouck","flat"
"1962","4",1926-06-26,361,"Plain stage","Félix Sellier","flat"
"1963","5",1926-06-28,357,"Plain stage","Adelin Benoit","flat"
"1964","6",1926-06-30,405,"Plain stage","Joseph van Dam","flat"
"1965","7",1926-07-02,412,"Plain stage","Nicolas Frantz","flat"
"1966","8",1926-07-03,285,"Plain stage","Joseph van Dam","flat"
"1967","9",1926-07-04,189,"Plain stage","Nicolas Frantz","flat"
"1968","10",1926-07-06,326,"Stage with mountain(s)","Lucien Buysse","mountain"
"1969","11",1926-07-08,323,"Stage with mountain(s)","Lucien Buysse","mountain"
"1970","12",1926-07-10,427,"Plain stage","Nicolas Frantz","flat"
"1971","13",1926-07-12,280,"Plain stage","Nicolas Frantz","flat"
"1972","14",1926-07-14,275,"Stage with mountain(s)","Bartolomeo Aimo","mountain"
"1973","15",1926-07-16,303,"Stage with mountain(s)","Joseph van Dam","mountain"
"1974","16",1926-07-17,321,"Plain stage","Camille van de Casteele","flat"
"1975","17",1926-07-18,341,"Plain stage","Aimé Dossche","flat"
"1976","1",1925-06-21,340,"Plain stage","Ottavio Bottecchia","flat"
"1977","2",1925-06-23,371,"Plain stage","Romain Bellenger","flat"
"1978","3",1925-06-25,405,"Plain stage","Louis Mottiat","flat"
"1979","4",1925-06-26,208,"Plain stage","Nicolas Frantz","flat"
"1980","5",1925-06-27,204,"Plain stage","Nicolas Frantz","flat"
"1981","6",1925-06-28,293,"Plain stage","Ottavio Bottecchia","flat"
"1982","7",1925-06-29,189,"Plain stage","Ottavio Bottecchia","flat"
"1983","8",1925-07-01,326,"Stage with mountain(s)","Adelin Benoît","mountain"
"1984","9",1925-07-03,323,"Stage with mountain(s)","Nicolas Frantz","mountain"
"1985","10",1925-07-04,215,"Plain stage","Theophile Beeckman","flat"
"1986","11",1925-07-05,215,"Plain stage","Lucien Buysse","flat"
"1987","12",1925-07-07,280,"Stage with mountain(s)","Lucien Buysse","mountain"
"1988","13",1925-07-09,275,"Stage with mountain(s)","Bartolomeo Aimo","mountain"
"1989","14",1925-07-11,303,"Stage with mountain(s)","Hector Martin","mountain"
"1990","15",1925-07-13,373,"Stage with mountain(s)","Nicolas Frantz","mountain"
"1991","16",1925-07-15,334,"Plain stage","Hector Martin","flat"
"1992","17",1925-07-17,433,"Plain stage","Hector Martin","flat"
"1993","18",1925-07-19,343,"Plain stage","Ottavio Bottecchia","flat"
"1994","1",1924-06-22,381,"Plain stage","Ottavio Bottecchia","flat"
"1995","2",1924-06-24,371,"Plain stage","Romain Bellenger","flat"
"1996","3",1924-06-26,405,"Plain stage","Philippe Thys  Théophile Beeckman","flat"
"1997","4",1924-06-28,412,"Plain stage","Félix Goethals","flat"
"1998","5",1924-06-30,482,"Plain stage","Omer Huyse","flat"
"1999","6",1924-07-02,326,"Stage with mountain(s)","Ottavio Bottecchia","mountain"
"2000","7",1924-07-04,323,"Stage with mountain(s)","Ottavio Bottecchia","mountain"
"2001","8",1924-07-06,427,"Plain stage","Louis Mottiat","flat"
"2002","9",1924-07-08,280,"Stage with mountain(s)","Philippe Thys","mountain"
"2003","10",1924-07-10,275,"Stage with mountain(s)","Giovanni Brunero","mountain"
"2004","11",1924-07-12,307,"Stage with mountain(s)","Nicolas Frantz","mountain"
"2005","12",1924-07-14,360,"Stage with mountain(s)","Nicolas Frantz","mountain"
"2006","13",1924-07-16,300,"Plain stage","Arsène Alancourt","flat"
"2007","14",1924-07-18,433,"Plain stage","Romain Bellenger","flat"
"2008","15",1924-07-20,343,"Plain stage","Ottavio Bottecchia","flat"
"2009","1",1923-06-24,381,"Plain stage","Robert Jacquinot","flat"
"2010","2",1923-06-26,371,"Plain stage","Ottavio Bottecchia","flat"
"2011","3",1923-06-28,405,"Plain stage","Henri Pélissier","flat"
"2012","4",1923-06-30,412,"Plain stage","Albert Dejonghe","flat"
"2013","5",1923-07-02,482,"Plain stage","Robert Jacquinot","flat"
"2014","6",1923-07-04,326,"Stage with mountain(s)","Jean Alavoine","mountain"
"2015","7",1923-07-06,323,"Stage with mountain(s)","Jean Alavoine","mountain"
"2016","8",1923-07-08,427,"Plain stage","Lucien Buysse","flat"
"2017","9",1923-07-10,281,"Stage with mountain(s)","Jean Alavoine","mountain"
"2018","10",1923-07-12,275,"Stage with mountain(s)","Henri Pélissier","mountain"
"2019","11",1923-07-14,260,"Stage with mountain(s)","Henri Pélissier","mountain"
"2020","12",1923-07-16,377,"Plain stage","Joseph Muller","flat"
"2021","13",1923-07-18,300,"Plain stage","Romain Bellenger","flat"
"2022","14",1923-07-20,433,"Plain stage","Félix Goethals","flat"
"2023","15",1923-07-22,343,"Plain stage","Félix Goethals","flat"
"2024","1",1922-06-25,388,"Plain stage","Robert Jacquinot","flat"
"2025","2",1922-06-27,364,"Plain stage","Romain Bellenger","flat"
"2026","3",1922-06-29,405,"Plain stage","Robert Jacquinot","flat"
"2027","4",1922-07-01,412,"Plain stage","Philippe Thys","flat"
"2028","5",1922-07-03,482,"Plain stage","Jean Alavoine","flat"
"2029","6",1922-07-05,326,"Stage with mountain(s)","Jean Alavoine","mountain"
"2030","7",1922-07-07,323,"Stage with mountain(s)","Jean Alavoine","mountain"
"2031","8",1922-07-09,411,"Plain stage","Philippe Thys","flat"
"2032","9",1922-07-11,284,"Stage with mountain(s)","Philippe Thys","mountain"
"2033","10",1922-07-13,274,"Stage with mountain(s)","Philippe Thys","mountain"
"2034","11",1922-07-15,260,"Stage with mountain(s)","Emile Masson}","mountain"
"2035","12",1922-07-17,371,"Plain stage","Emile Masson","flat"
"2036","13",1922-07-19,300,"Plain stage","Federico Gay","flat"
"2037","14",1922-07-21,433,"Plain stage","Félix Sellier","flat"
"2038","15",1922-07-23,340,"Plain stage","Philippe Thys","flat"
"2039","1",1921-06-26,388,"Plain stage","Louis Mottiat","flat"
"2040","2",1921-06-28,364,"Plain stage","Romain Bellenger","flat"
"2041","3",1921-06-30,405,"Plain stage","Leon Scieur","flat"
"2042","4",1921-07-02,412,"Plain stage","Louis Mottiat","flat"
